"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"2",1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0.8
"3",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"4",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.933333333333333
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.933333333333333
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.866666666666667
"11",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"12",1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0.866666666666667
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0.8
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.933333333333333
"18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0.866666666666667
"21",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.933333333333333
"22",0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0.8
"23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0.866666666666667
"25",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
