"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"4",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0.866666666666667
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"10",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"11",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.933333333333333
"12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0.733333333333333
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.866666666666667
"19",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0.866666666666667
"20",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.8
"21",1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0.8
"22",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.866666666666667
"23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.933333333333333
"25",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.933333333333333
