"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"14",1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0.733333333333333
"15",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.866666666666667
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.8
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"21",1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0.733333333333333
"22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"25",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0.8
