"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0.866666666666667
"2",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.866666666666667
"3",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"4",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"5",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.866666666666667
"6",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.866666666666667
"7",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.866666666666667
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"9",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.866666666666667
"10",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"11",0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0.733333333333333
"12",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.866666666666667
"13",1,1,1,1,1,1,0,1,1,1,1,1,0,1,NA,NA
"14",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.866666666666667
"15",1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"17",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"19",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0.866666666666667
"20",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.8
"21",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.866666666666667
"22",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.866666666666667
"23",1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0.666666666666667
"24",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.866666666666667
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"26",0.88,1,0.96,0.92,1,0.92,0.96,0.88,0.88,0.92,0.92,0.8,0.84,1,NA,NA
