"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,1,1,1,0,1,1,0,1,1,1,NA,NA
"2",1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0.733333333333333
"3",1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0.8
"4",1,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"5",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.866666666666667
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"8",1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0.8
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"10",1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0.8
"11",1,1,1,1,1,1,1,1,0,0,1,1,1,1,NA,NA
"12",1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.866666666666667
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"15",0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0.733333333333333
"16",1,1,1,1,1,1,1,1,1,1,0,0,1,1,NA,NA
"17",0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.8
"18",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.866666666666667
"19",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.866666666666667
"20",1,1,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA
"21",1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0.733333333333333
"22",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"24",1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0.8
"25",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0.8
"26",0.92,0.84,0.84,0.96,0.92,0.96,1,0.8,0.92,0.88,0.8,0.92,0.92,0.96,NA,NA
