"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0.8
"2",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.866666666666667
"3",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.866666666666667
"4",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.866666666666667
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"7",1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0.733333333333333
"8",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"9",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.866666666666667
"10",1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0.8
"11",1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.8
"12",1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0.8
"13",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0.8
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"17",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"19",1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,NA
"20",1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,NA
"21",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.866666666666667
"22",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0.866666666666667
"23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"24",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"25",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
