"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"6",1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,NA
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"8",1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0.8
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"10",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"13",0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.8
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"16",1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0.8
"17",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.866666666666667
"18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"19",0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.8
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"21",0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0.666666666666667
"22",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"26",0.8,0.96,0.92,0.96,0.96,1,1,1,0.88,0.96,0.96,0.96,1,1,NA,NA
