"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0.866666666666667
"2",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.866666666666667
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"6",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"12",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0.866666666666667
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.866666666666667
"17",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0.866666666666667
"18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.933333333333333
"20",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.933333333333333
"21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.933333333333333
"24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.933333333333333
"26",0.92,0.96,0.92,1,0.92,0.92,1,0.8,1,0.96,0.96,1,1,0.96,1,0.954666666666667
