"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.933333333333333
"2",0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0.8
"3",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.866666666666667
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.866666666666667
"8",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0.866666666666667
"9",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"10",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.866666666666667
"11",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.933333333333333
"12",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.933333333333333
"13",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.933333333333333
"14",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"15",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.933333333333333
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.933333333333333
"21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"23",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.933333333333333
"24",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0.866666666666667
"25",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0.8
