"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0.8
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"4",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0.866666666666667
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"7",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"10",1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0.666666666666667
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"12",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.866666666666667
"13",1,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"14",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"17",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.866666666666667
"18",1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.8
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,NA
"21",1,1,0,1,0,1,1,1,1,1,1,1,1,1,NA,NA
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"24",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"25",1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0.8
"26",0.68,0.8,0.72,0.72,0.68,0.64,0.76,0.68,0.8,0.8,0.8,0.76,0.76,0.76,NA,NA
