"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0.8
"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0.866666666666667
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"6",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.933333333333333
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"8",1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0.8
"9",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.933333333333333
"10",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.933333333333333
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"16",1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0.8
"17",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0.866666666666667
"18",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.933333333333333
"19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"20",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"21",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.866666666666667
"22",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.866666666666667
"23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0.866666666666667
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"26",0.96,0.96,0.88,0.96,0.96,0.96,0.92,0.96,0.88,0.92,1,0.84,0.96,0.88,0.8,0.922666666666667
