"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"2",1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0.8
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"4",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0.866666666666667
"5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"10",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.866666666666667
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"12",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"13",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"16",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.866666666666667
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.866666666666667
"19",0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0.733333333333333
"20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"21",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.866666666666667
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0.866666666666667
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
