"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"5",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.933333333333333
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.933333333333333
"9",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.866666666666667
"10",1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0.8
"11",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.933333333333333
"12",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0.866666666666667
"13",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.933333333333333
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0.733333333333333
"16",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.933333333333333
"17",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.933333333333333
"18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0.866666666666667
"20",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0.866666666666667
"21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0.866666666666667
"23",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.933333333333333
"24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.933333333333333
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26",0.92,0.92,0.88,0.96,0.96,0.92,1,0.96,0.96,0.92,0.88,0.92,0.84,1,0.88,0.928
