spcd,band,id,year,month,day,sex,sex_method,age,wing,tarsus,wt,fat,lean,mlos,last_day,depart_night,depart_type,depart_time,array_nights
MAWA,2760-58105,13,2015,5,8,m,mol,SY,58,17.87,8.71,0.85,6.42,1,5/8/2015,5/8/2015,LPBOTIP,4.478129912,1
BTBW,2740-81259,14,2015,5,18,f,plum,SY,60,17.86,9.2,1.11,6.51,6,NA,5/23/2015,PostRelocation,NA,1
MAWA,2760-58411,15,2015,5,25,f,mol,SY,56,17.64,8.49,1.14,5.88,5,5/29/2015,5/29/2015,Uninterrupted,1.615247356,1
MAWA,2760-58122,16,2015,5,11,m,mol,ASY,60,18.59,8.64,0.66,6.45,5,NA,5/15/2015,PostRelocation,NA,1
BTBW,2740-81119,17,2015,5,15,f,plum,ASY,61,17.08,10.59,1.52,7.42,1,5/15/2015,5/15/2015,Uninterrupted,0.782092699,1
MAWA,2760-58402,18,2015,5,25,f,mol,SY,58,16.4,7.3,-0.04,5.94,4,5/28/2015,5/28/2015,Uninterrupted,1.327474512,1
BTBW,2740-81104,19,2015,5,8,f,plum,ASY,60,18.49,10.03,1.21,7.04,2,5/9/2015,5/9/2015,Interrupted,4.881041554,7
BTBW,2740-81112,20,2015,5,12,m,plum,SY,64,18.44,10.35,1.48,7.21,12,5/23/2015,5/23/2015,Uninterrupted,0.74194727,1
BTBW,2740-81118,21,2015,5,15,m,plum,ASY,66,18.53,11.08,NA,NA,1,5/15/2015,5/15/2015,Interrupted,3.143759179,3
MAWA,2760-58170,22,2015,5,21,f,mol,ASY,59,18.07,10.04,1.67,6.8,3,5/23/2015,5/23/2015,Uninterrupted,0.94833599,1
BTBW,2720-21072,23,2015,5,3,f,plum,ASY,61,18.12,10.62,1.83,7.2,1,NA,5/3/2015,Uninterrupted,NA,1
BTBW,2740-81109,24,2015,5,9,m,plum,SY,65,18.15,9.66,0.45,7.64,9,5/17/2015,5/17/2015,Interrupted,0.864631072,2
MAWA,2760-58110,25,2015,5,9,m,mol,SY,61,18.02,8.03,0.29,6.43,8,5/16/2015,5/16/2015,LPBOTIP,0.847026864,1
MAWA,2760-58108,26,2015,5,9,m,mol,ASY,61,17.44,8.54,0.4,6.67,3,5/11/2015,5/11/2015,Uninterrupted,1.669681508,1
MAWA,2760-58106,27,2015,5,8,NA,mol,SY,56,17.84,7.51,0.32,5.7,5,5/12/2015,5/12/2015,NA,NA,0
MAWA,2760-58107,28,2015,5,9,m,mol,ASY,61,17.85,7.93,0.31,6.1,1,5/9/2015,5/9/2015,LPBOTIP,2.343819394,1
BTBW,2760-58103,29,2015,5,7,m,plum,SY,63,18.13,9.77,0.58,7.49,NA,NA,NA,NA,NA,0
MAWA,2760-58104,30,2015,5,8,m,mol,ASY,61,18.58,8.25,0.1,6.67,NA,NA,NA,NA,NA,NA
BTBW,2740-81103,31,2015,5,8,m,plum,ASY,65,19.21,10.47,NA,NA,2,5/8/2015,5/9/2015,Interrupted,4.717018952,2
BTBW,2740-81105,32,2015,5,8,m,plum,ASY,65,18.39,10.32,0.99,7.49,1,5/8/2015,5/8/2015,NA,NA,0
